tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0111161,The Shawshank Redemption,1994,"[""Drama""]","[""nm0000209"", ""nm0000151"", ""nm0348409""]",142,9.3,English,United States,3179655,25.0,73.3,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.
tt0068646,The Godfather,1972,"[""Crime"", ""Drama""]","[""nm0000008"", ""nm0000199"", ""nm0001001""]",175,9.2,English,United States,2220934,6.0,250.0,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
tt0468569,The Dark Knight,2008,"[""Action"", ""Crime"", ""Drama""]","[""nm0000288"", ""nm0005132"", ""nm0001173""]",152,9.1,English,United States,3159065,185.0,1009.0,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
tt0071562,The Godfather Part II,1974,"[""Crime"", ""Drama""]","[""nm0000199"", ""nm0000134"", ""nm0000380""]",202,9.0,English,United States,1492120,13.0,93.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
tt0050083,12 Angry Men,1957,"[""Crime"", ""Drama""]","[""nm0000020"", ""nm0002011"", ""nm0000842""]",96,9.0,English,United States,981488,0.34,2.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
tt0108052,Schindler's List,1994,"[""Biography"", ""Drama"", ""History""]","[""nm0000553"", ""nm0000146"", ""nm0001426""]",195,9.0,English,United States,1582378,22.0,322.2,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
tt0167260,The Lord of the Rings: The Return of the King,2003,"[""Adventure"", ""Drama"", ""Fantasy""]","[""nm0000704"", ""nm0001557"", ""nm0005212""]",201,9.0,English,New Zealand,2142025,,386.98,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
tt0110912,Pulp Fiction,1994,"[""Crime"", ""Drama""]","[""nm0000237"", ""nm0000235"", ""nm0000168""]",154,8.8,English,United States,2429532,,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
tt0060196,"The Good, the Bad and the Ugly",1967,"[""Adventure"", ""Drama"", ""Western""]","[""nm0000142"", ""nm0908919"", ""nm0001812""]",178,8.8,English,Italy,889734,1.2,38.9,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"[""Adventure"", ""Drama"", ""Fantasy""]","[""nm0000704"", ""nm0005212"", ""nm0089217""]",178,8.9,English,New Zealand,2190837,93.0,897.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt0137523,Fight Club,1999,"[""Crime"", ""Drama"", ""Thriller""]","[""nm0000093"", ""nm0001533""]",139,8.8,English,United States,2598174,63.0,101.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
tt0109830,Forrest Gump,1994,"[""Drama"", ""Romance""]","[""nm0000158"", ""nm0000705"", ""nm0000641""]",142,8.8,English,United States,2489915,55.0,678.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
tt1375666,Inception,2010,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm0000138"", ""nm0330687"", ""nm0680983""]",148,8.8,English,United Kingdom,2808796,160.0,839.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster."
tt0167261,The Lord of the Rings: The Two Towers,2002,"[""Adventure"", ""Drama"", ""Fantasy""]","[""nm0000704"", ""nm0005212"", ""nm0001557""]",179,8.8,English,New Zealand,1939468,94.0,944.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"[""Action"", ""Adventure"", ""Fantasy""]","[""nm0000434"", ""nm0000148"", ""nm0000402""]",124,8.7,English,United States,1495152,30.5,549.5,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
tt0133093,The Matrix,1999,"[""Action"", ""Sci-Fi""]","[""nm0000206"", ""nm0000401"", ""nm0005251""]",136,8.7,English,United States,2243093,63.0,467.8,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
tt0099685,GoodFellas,1990,"[""Biography"", ""Crime"", ""Drama""]","[""nm0000134"", ""nm0000501"", ""nm0000582""]",145,8.7,English,United States,1388009,25.0,47.1,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
tt0073486,One Flew Over the Cuckoo's Nest,1975,"[""Drama""]","[""nm0000197"", ""nm0001221"", ""nm0077720""]",133,8.6,English,United States,1155304,3.0,163.3,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse."
tt0114369,Seven,1995,"[""Crime"", ""Drama"", ""Mystery""]","[""nm0000151"", ""nm0000093"", ""nm0000228""]",127,8.6,English,United States,2015134,33.0,327.3,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.
tt0038650,It's a Wonderful Life,1946,"[""Drama"", ""Family"", ""Fantasy""]","[""nm0000071"", ""nm0001656"", ""nm0000859""]",130,8.6,English,United States,552062,3.18,3.3,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.
tt0047478,Seven Samurai,1954,"[""Action"", ""Drama""]","[""nm0001536"", ""nm0793766"", ""nm0875477""]",207,8.6,Japanese,Japan,397770,,0.82,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
tt0102926,The Silence of the Lambs,1991,"[""Crime"", ""Drama"", ""Horror""]","[""nm0000149"", ""nm0000164"", ""nm0001277""]",118,8.6,English,United States,1718588,19.0,272.7,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
tt0317248,City of God,2004,"[""Crime"", ""Drama""]","[""nm1129884"", ""nm0618690""]",130,8.6,Portuguese,Brazil,869206,3.3,30.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
tt0816692,Interstellar,2014,"[""Adventure"", ""Drama"", ""Sci-Fi""]","[""nm0000190"", ""nm0004266"", ""nm1567113""]",169,8.7,English,United States,2516752,165.0,773.8,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
tt0120815,Saving Private Ryan,1998,"[""Drama"", ""War""]","[""nm0000158"", ""nm0000354"", ""nm0001744""]",169,8.6,English,United States,1635552,65.0,482.3,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action."
tt0118799,Life Is Beautiful,1997,"[""Comedy"", ""Drama"", ""Romance""]","[""nm0000905"", ""nm0000971"", ""nm0134493""]",116,8.6,Italian,Italy,811130,,230.1,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
